#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 09 14 50 999 12.5 15.4  2.05  5.88  4.83 305 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 15 50 999 11.7 15.3  2.50  6.67  5.43 318 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 16 50 999 12.3 14.5  2.49  7.14  5.48 326 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 17 50 999 11.6 13.6  2.63  6.67  5.68 333 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 18 50 999 10.8 13.3  2.75  7.69  5.86 312 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 19 50 999 10.8 12.9  2.96  7.69  6.09 317 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 20 50 999  9.6 12.2  2.74  8.33  6.11 318 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 21 50 999 10.0 12.1  2.49  8.33  5.96 308 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 22 50 999 10.3 12.2  2.49  8.33  5.93 316 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 09 23 50 999 11.2 13.9  2.34  8.33  5.71 317 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 00 50 999 10.8 14.5  2.26  8.33  5.74 314 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 01 50 999 11.8 14.3  2.43  7.69  5.57 323 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 02 50 999 12.1 14.5  2.34  7.69  5.68 316 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 03 50 999 11.9 14.5  2.57  7.69  5.92 323 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 04 50 999 12.0 14.8  2.63  7.69  6.08 316 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 05 50 999 12.0 15.4  2.78  7.14  6.00 330 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 06 50 999 10.9 13.1  3.17  8.33  6.35 311 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 07 50 999 10.7 13.4  2.92  7.69  6.19 318 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 08 50 999 10.4 13.6  2.69  7.69  6.01 316 9999.0 999.0 999.0 999.0 99.0 99.00
